dataset,date,mean,lower_95_hdi,upper_95_hdi
monthly_easy,2024-01,98.34331745742115,92.01074547831509,104.50991875669783
monthly_easy,2024-02,101.64149065063546,95.48534729266122,107.82971769637925
monthly_easy,2024-03,107.33028802939954,101.39471962751074,113.77628482461351
monthly_easy,2024-04,111.48062459646125,105.67237374475415,118.22732630741865
monthly_easy,2024-05,115.67838669214498,109.16249728203036,122.14450353351802
monthly_easy,2024-06,117.32297412059616,110.95131441467477,123.6349451093013
monthly_hard,2024-01,102.53228427798591,85.21607344113978,120.98096214582546
monthly_hard,2024-02,113.3592570653763,96.82010454764658,131.79185439690727
monthly_hard,2024-03,122.51189052881092,103.72210753595195,140.17556485163152
monthly_hard,2024-04,127.91227567809517,108.61480567911205,146.78586203750754
monthly_hard,2024-05,124.65632938880682,105.08238078637606,143.60526799104892
monthly_hard,2024-06,125.39916603961481,105.76216100479071,145.72956558353872
monthly_medium,2024-01,131.7347553746139,124.36851653640471,138.71863922365165
monthly_medium,2024-02,133.84225814060738,126.9391619408016,141.28542041185085
monthly_medium,2024-03,140.30912696922076,132.97845646307348,147.2539807440363
monthly_medium,2024-04,144.1868173340893,136.50456783471094,151.41343408095227
monthly_medium,2024-05,144.71514576987784,137.2372247334867,152.28106296379127
monthly_medium,2024-06,146.21140508688418,139.0253956612251,154.03944857042293
weekly_easy,2024-01-01,222.7647858101495,213.57422470493364,232.02880209219856
weekly_easy,2024-01-08,223.6852094720459,214.2078147691053,232.67775077429033
weekly_easy,2024-01-15,226.15429840703723,216.5508456469202,236.04857565731479
weekly_easy,2024-01-22,229.0388231169251,219.25904133762515,239.4824067432075
weekly_easy,2024-01-29,228.16473167750087,217.39265246298717,238.43719537284326
weekly_easy,2024-02-05,230.77801585980174,220.33708629526558,241.76409048673926
weekly_easy,2024-02-12,233.58427763313713,222.80102083602458,245.50106337346847
weekly_easy,2024-02-19,237.45137961781913,225.6065758750568,249.37761201302067
weekly_easy,2024-02-26,237.5946539437958,225.57030072177145,249.53128600649558
weekly_easy,2024-03-04,242.72274926250992,229.4895746332124,254.8754414412147
weekly_easy,2024-03-11,239.56365422090678,227.34613170211446,252.47091014714266
weekly_easy,2024-03-18,245.1524597135913,232.1756989313796,258.325146211148
weekly_easy,2024-03-25,245.2593158099956,231.7233732257238,257.92077838390395
weekly_easy,2024-04-01,248.85593576048456,235.5932145573601,262.8839836125269
weekly_easy,2024-04-08,247.41279800877606,233.34061687078736,261.15075811228485
weekly_easy,2024-04-15,253.17983113653958,239.07866353579826,267.38694571513224
weekly_easy,2024-04-22,253.78042667464476,238.9695408795634,267.00601207437194
weekly_easy,2024-04-29,251.4191703211726,237.65428318069186,265.4256328337846
weekly_easy,2024-05-06,254.78884912559184,241.35315695444464,268.8700679763967
weekly_easy,2024-05-13,255.62993810444786,242.3404379913119,270.42549712442
weekly_easy,2024-05-20,255.56499920651262,242.99329381231863,270.9822047037507
weekly_easy,2024-05-27,256.6113169006565,242.46025789890012,271.26394759023344
weekly_easy,2024-06-03,256.84669267481416,243.01754211266245,270.44939625019225
weekly_easy,2024-06-10,255.31704334012488,241.76321106680717,269.0161979889882
weekly_easy,2024-06-17,256.5234417408357,243.10111602325725,271.22978794287496
weekly_easy,2024-06-24,255.68149599888227,241.98063142911732,269.6114042924474
weekly_hard,2024-01-01,276.35967678462606,254.36826663390485,298.39897305124805
weekly_hard,2024-01-08,282.8952761126043,259.7050912224953,306.98984395720856
weekly_hard,2024-01-15,290.13643329145503,265.0436369795152,315.1091538337708
weekly_hard,2024-01-22,279.9440205733737,253.80448821786493,305.72382767510976
weekly_hard,2024-01-29,275.4070838881374,248.17360759838735,302.583325837858
weekly_hard,2024-02-05,269.7988220265439,240.65014298119098,297.84828132136994
weekly_hard,2024-02-12,271.6289662770716,243.99647327554288,304.36394998697307
weekly_hard,2024-02-19,268.23721884395815,238.32844141493982,297.8751903569374
weekly_hard,2024-02-26,275.3225549504543,243.8127850778111,305.8995565551302
weekly_hard,2024-03-04,282.36641922307126,250.65144508049192,316.58954982264606
weekly_hard,2024-03-11,289.2260655020765,256.7818049989097,321.84097827673753
weekly_hard,2024-03-18,297.617036382042,265.7375344982504,332.9021615850604
weekly_hard,2024-03-25,311.87737679652264,278.1706732515061,349.7155788382063
weekly_hard,2024-04-01,323.34448453086776,288.4893583183669,364.6296916902097
weekly_hard,2024-04-08,328.8509714496764,291.9224996477644,372.82671076772885
weekly_hard,2024-04-15,335.9628274366461,293.0504285673787,378.95794389068
weekly_hard,2024-04-22,329.48809079075687,283.5642197513664,376.88797665258426
weekly_hard,2024-04-29,320.8160534329219,278.2056897633199,372.48100117024495
weekly_hard,2024-05-06,311.6921780113155,264.67963617912505,361.1851905807382
weekly_hard,2024-05-13,305.3364115655813,263.32857966867715,357.92818790975707
weekly_hard,2024-05-20,301.0032370782321,257.4034702309846,350.5326038170383
weekly_hard,2024-05-27,296.6243514091299,251.8790536551025,345.5113962094155
weekly_hard,2024-06-03,303.27584125984697,261.1130107361812,354.78695582861917
